Day_of_week,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Service_year_of_vehicle,Accident_severity
Friday,18-30,Male,Employee,unknown,5-10yrs,Slight Injury
Friday,31-50,Male,Employee,5-10yr,Unknown,Slight Injury
Saturday,18-30,Male,Employee,1-2yr,Unknown,Slight Injury
Saturday,31-50,Male,Employee,2-5yr,Unknown,Slight Injury
Saturday,31-50,Male,Employee,Above 10yr,Unknown,Slight Injury
Friday,31-50,Male,Owner,5-10yr,5-10yrs,Slight Injury
Friday,31-50,Male,Employee,1-2yr,Unknown,Slight Injury
Friday,31-50,Male,Employee,Above 10yr,,Slight Injury
Friday,31-50,Male,Employee,1-2yr,,Slight Injury
Tuesday,18-30,Male,Employee,2-5yr,,Serious Injury
Saturday,Unknown,Female,Employee,Above 10yr,,Serious Injury
Tuesday,31-50,Male,Employee,2-5yr,,Serious Injury
Tuesday,31-50,Male,Employee,5-10yr,Below 1yr,Serious Injury
Tuesday,18-30,Male,,,1-2yr,Slight Injury
Tuesday,18-30,Male,Employee,1-2yr,,Slight Injury
Thursday,Over 51,Male,Employee,5-10yr,1-2yr,Slight Injury
Thursday,31-50,Male,Employee,5-10yr,,Slight Injury
Thursday,31-50,Male,Employee,1-2yr,5-10yrs,Serious Injury
Tuesday,18-30,Male,Employee,5-10yr,,Serious Injury
Tuesday,18-30,Male,Employee,5-10yr,,Serious Injury
Tuesday,31-50,Male,Employee,2-5yr,,Serious Injury
Tuesday,Over 51,Male,Employee,1-2yr,,Serious Injury
Tuesday,31-50,Male,Employee,5-10yr,,Serious Injury
Tuesday,Over 51,Male,Employee,Below 1yr,,Serious Injury
Wednesday,18-30,Male,Employee,5-10yr,Unknown,Slight Injury
Wednesday,18-30,Male,Owner,5-10yr,,Slight Injury
Wednesday,18-30,Male,Owner,5-10yr,Unknown,Slight Injury
Friday,18-30,Male,Employee,5-10yr,5-10yrs,Slight Injury
Wednesday,31-50,Male,Employee,2-5yr,5-10yrs,Serious Injury
Wednesday,31-50,Male,Employee,5-10yr,,Serious Injury
Friday,18-30,Male,Employee,Above 10yr,,Serious Injury
Friday,18-30,Male,Employee,Below 1yr,2-5yrs,Serious Injury
Sunday,18-30,Male,Employee,5-10yr,2-5yrs,Slight Injury
Sunday,Over 51,Male,Employee,2-5yr,5-10yrs,Slight Injury
Saturday,18-30,Male,Employee,2-5yr,5-10yrs,Slight Injury
Saturday,Over 51,Male,Employee,1-2yr,2-5yrs,Slight Injury
Saturday,31-50,Male,Employee,2-5yr,,Slight Injury
Thursday,31-50,Male,Employee,2-5yr,2-5yrs,Slight Injury
Tuesday,31-50,Male,Employee,Above 10yr,,Slight Injury
Wednesday,Over 51,Male,Employee,Below 1yr,2-5yrs,Slight Injury
Wednesday,18-30,Male,Employee,2-5yr,2-5yrs,Slight Injury
Wednesday,18-30,Male,Employee,Above 10yr,Unknown,Slight Injury
Sunday,Over 51,Male,Employee,Above 10yr,,Slight Injury
Wednesday,18-30,Male,Employee,5-10yr,,Slight Injury
Wednesday,Under 18,Male,Employee,Above 10yr,,Slight Injury
Wednesday,18-30,Male,Employee,1-2yr,,Serious Injury
Wednesday,31-50,Male,Employee,2-5yr,,Slight Injury
Wednesday,31-50,Male,Employee,2-5yr,,Slight Injury
Wednesday,18-30,Male,Other,5-10yr,,Slight Injury
Tuesday,31-50,Male,Employee,5-10yr,,Serious Injury
Tuesday,31-50,Male,Owner,5-10yr,Below 1yr,Serious Injury
Sunday,31-50,Male,Employee,Above 10yr,2-5yrs,Serious Injury
Sunday,18-30,Male,Employee,Below 1yr,,Serious Injury
Saturday,Over 51,Male,Other,Below 1yr,5-10yrs,Serious Injury
Saturday,18-30,Male,Employee,Above 10yr,Unknown,Serious Injury
Friday,31-50,Male,Owner,5-10yr,,Slight Injury
Saturday,Over 51,Male,Owner,5-10yr,1-2yr,Slight Injury
Saturday,18-30,Male,Employee,2-5yr,Above 10yr,Slight Injury
Thursday,Over 51,Male,Employee,2-5yr,2-5yrs,Slight Injury
Thursday,18-30,Male,Employee,5-10yr,1-2yr,Slight Injury
Thursday,Unknown,Female,Owner,2-5yr,1-2yr,Serious Injury
Monday,18-30,Male,,,1-2yr,Slight Injury
Monday,31-50,Male,Employee,2-5yr,2-5yrs,Slight Injury
Sunday,31-50,Male,Employee,5-10yr,1-2yr,Slight Injury
Sunday,18-30,Male,Employee,2-5yr,1-2yr,Slight Injury
Sunday,31-50,Male,Employee,1-2yr,Unknown,Slight Injury
Friday,18-30,Male,Employee,,,Slight Injury
Friday,18-30,Male,Owner,1-2yr,1-2yr,Slight Injury
Friday,Over 51,Male,Employee,2-5yr,1-2yr,Slight Injury
Thursday,31-50,Male,Employee,1-2yr,Below 1yr,Slight Injury
Thursday,31-50,Male,Employee,Above 10yr,,Slight Injury
Thursday,18-30,Male,Employee,2-5yr,,Serious Injury
Wednesday,Unknown,Male,Employee,2-5yr,Above 10yr,Slight Injury
Saturday,18-30,Male,Employee,2-5yr,,Slight Injury
Tuesday,18-30,Male,Employee,2-5yr,,Slight Injury
Saturday,31-50,Male,Employee,2-5yr,2-5yrs,Slight Injury
Saturday,Over 51,Male,Employee,2-5yr,2-5yrs,Slight Injury
Saturday,Over 51,Male,Employee,5-10yr,2-5yrs,Slight Injury
Saturday,18-30,Male,Employee,2-5yr,,Slight Injury
Saturday,18-30,Male,Employee,Above 10yr,2-5yrs,Slight Injury
Saturday,18-30,Male,Employee,Above 10yr,,Slight Injury
Saturday,Unknown,Female,Employee,Above 10yr,,Slight Injury
Monday,31-50,Male,Employee,5-10yr,Above 10yr,Slight Injury
Wednesday,18-30,Male,Owner,2-5yr,2-5yrs,Slight Injury
Wednesday,18-30,Male,Employee,1-2yr,Above 10yr,Slight Injury
Wednesday,Under 18,Female,Employee,2-5yr,Above 10yr,Slight Injury
Tuesday,Under 18,Male,Employee,5-10yr,,Slight Injury
Tuesday,31-50,Male,,,Above 10yr,Slight Injury
Thursday,18-30,Male,Owner,5-10yr,,Slight Injury
Monday,31-50,Male,Other,Above 10yr,,Slight Injury
Monday,18-30,Male,Employee,Above 10yr,Above 10yr,Slight Injury
Monday,31-50,Male,Employee,1-2yr,5-10yrs,Slight Injury
Monday,18-30,Male,Owner,,Below 1yr,Slight Injury
Monday,18-30,Male,Employee,2-5yr,Unknown,Slight Injury
Friday,Under 18,Male,Employee,5-10yr,,Slight Injury
Friday,Under 18,Male,Employee,2-5yr,,Slight Injury
Tuesday,18-30,Male,Employee,Above 10yr,,Serious Injury
Thursday,18-30,Male,Employee,5-10yr,,Slight Injury
Friday,31-50,Male,Employee,5-10yr,,Slight Injury
Saturday,18-30,Male,Employee,1-2yr,Unknown,Serious Injury
Thursday,31-50,Male,Employee,Above 10yr,Below 1yr,Slight Injury
Thursday,31-50,Male,Employee,5-10yr,Unknown,Slight Injury
Sunday,Under 18,Male,Employee,2-5yr,,Slight Injury
Sunday,31-50,Male,Employee,2-5yr,Unknown,Slight Injury
Thursday,Under 18,Male,Employee,5-10yr,,Slight Injury
Thursday,31-50,Male,Employee,1-2yr,,Slight Injury
Wednesday,Over 51,Male,Employee,5-10yr,,Slight Injury
Wednesday,31-50,Male,Employee,5-10yr,,Slight Injury
Wednesday,Unknown,Female,Employee,5-10yr,2-5yrs,Slight Injury
Sunday,31-50,Male,Employee,Above 10yr,,Slight Injury
Sunday,31-50,Male,Employee,2-5yr,Unknown,Slight Injury
Sunday,31-50,Male,Employee,5-10yr,,Slight Injury
Sunday,31-50,Male,,,Unknown,Slight Injury
Sunday,31-50,Male,Employee,5-10yr,5-10yrs,Slight Injury
Sunday,Over 51,Male,Employee,,,Slight Injury
Sunday,Over 51,Male,Employee,,,Slight Injury
Sunday,Over 51,Male,Employee,1-2yr,5-10yrs,Slight Injury
Friday,18-30,Male,Owner,5-10yr,Unknown,Slight Injury
Thursday,18-30,Male,Employee,2-5yr,,Slight Injury
Thursday,18-30,Male,Owner,5-10yr,,Slight Injury
Thursday,Over 51,Male,Employee,2-5yr,,Serious Injury
Thursday,18-30,Male,Employee,Above 10yr,,Serious Injury
Saturday,18-30,Male,Employee,Below 1yr,,Slight Injury
Saturday,18-30,Male,Employee,Below 1yr,,Slight Injury
Monday,Under 18,Male,Owner,,5-10yrs,Slight Injury
Monday,31-50,Male,Employee,2-5yr,,Slight Injury
Wednesday,18-30,Male,,,2-5yrs,Slight Injury
Wednesday,31-50,Male,Employee,No Licence,,Slight Injury
Monday,Unknown,Female,Employee,Above 10yr,5-10yrs,Serious Injury
Tuesday,31-50,Male,Owner,Above 10yr,,Slight Injury
Thursday,Unknown,Female,Employee,Above 10yr,5-10yrs,Slight Injury
Thursday,Over 51,Male,Employee,Above 10yr,,Slight Injury
Tuesday,18-30,Male,Owner,5-10yr,5-10yrs,Serious Injury
Saturday,18-30,Male,Employee,Below 1yr,,Serious Injury
Saturday,31-50,Male,Employee,2-5yr,,Serious Injury
Wednesday,Under 18,Male,Employee,,Above 10yr,Slight Injury
Wednesday,Unknown,Female,Employee,1-2yr,Unknown,Slight Injury
Tuesday,Over 51,Male,Employee,1-2yr,Unknown,Slight Injury
Tuesday,31-50,Male,Employee,1-2yr,Below 1yr,Slight Injury
Tuesday,31-50,Male,Employee,5-10yr,Unknown,Slight Injury
Tuesday,31-50,Male,Employee,Above 10yr,,Slight Injury
Tuesday,18-30,Male,Employee,Above 10yr,,Slight Injury
Tuesday,18-30,Male,Employee,5-10yr,,Slight Injury
Tuesday,31-50,Male,Employee,2-5yr,,Slight Injury
Tuesday,Over 51,Male,Employee,Below 1yr,,Slight Injury
Saturday,18-30,Male,Employee,1-2yr,,Slight Injury
Saturday,18-30,Male,Employee,5-10yr,,Slight Injury
Saturday,18-30,Male,Employee,Below 1yr,,Slight Injury
Saturday,18-30,Male,Employee,5-10yr,5-10yrs,Slight Injury
Saturday,18-30,Male,Employee,2-5yr,Above 10yr,Slight Injury
Saturday,18-30,Male,Employee,5-10yr,5-10yrs,Slight Injury
Monday,18-30,Male,Employee,5-10yr,2-5yrs,Slight Injury
Monday,31-50,Male,Employee,Above 10yr,,Slight Injury
Monday,Over 51,Male,Employee,1-2yr,Above 10yr,Slight Injury
Tuesday,Over 51,Male,Employee,Below 1yr,5-10yrs,Serious Injury
Tuesday,Over 51,Male,Employee,Above 10yr,Unknown,Serious Injury
Sunday,Under 18,Male,Owner,1-2yr,,Slight Injury
Sunday,Under 18,Male,Employee,2-5yr,,Slight Injury
Sunday,Under 18,Male,Employee,5-10yr,,Slight Injury
Sunday,31-50,Male,Owner,2-5yr,,Slight Injury
Tuesday,Unknown,Female,Employee,Above 10yr,,Slight Injury
Tuesday,Over 51,Male,Employee,1-2yr,,Slight Injury
Tuesday,Over 51,Male,Employee,1-2yr,,Slight Injury
Tuesday,Over 51,Male,Employee,1-2yr,2-5yrs,Slight Injury
Tuesday,18-30,Male,Employee,5-10yr,2-5yrs,Slight Injury
Tuesday,18-30,Male,,,,Slight Injury
Tuesday,18-30,Male,Employee,5-10yr,,Slight Injury
Wednesday,31-50,Male,Owner,5-10yr,Unknown,Serious Injury
Sunday,18-30,Male,Employee,5-10yr,,Slight Injury
Sunday,18-30,Male,Owner,5-10yr,,Slight Injury
Tuesday,18-30,Male,Employee,5-10yr,Unknown,Slight Injury
Tuesday,18-30,Male,Owner,1-2yr,,Slight Injury
Tuesday,Over 51,Male,Employee,2-5yr,5-10yrs,Slight Injury
Thursday,Over 51,Male,Owner,5-10yr,,Serious Injury
Thursday,Over 51,Male,Owner,Above 10yr,,Serious Injury
Friday,31-50,Male,Employee,5-10yr,,Fatal injury
Wednesday,31-50,Male,Owner,2-5yr,,Slight Injury
Wednesday,31-50,Male,Employee,5-10yr,1-2yr,Slight Injury
Monday,18-30,Male,Employee,2-5yr,5-10yrs,Slight Injury
Monday,31-50,Male,Employee,5-10yr,,Slight Injury
Monday,18-30,Male,Employee,1-2yr,5-10yrs,Slight Injury
Sunday,18-30,Male,Employee,5-10yr,2-5yrs,Slight Injury
Sunday,18-30,Male,,,,Slight Injury
Friday,31-50,Male,Employee,Above 10yr,,Slight Injury
Wednesday,18-30,Male,Employee,Below 1yr,1-2yr,Slight Injury
Friday,18-30,Male,Employee,2-5yr,1-2yr,Slight Injury
Friday,18-30,Male,Owner,1-2yr,1-2yr,Slight Injury
Friday,18-30,Male,Owner,5-10yr,Unknown,Slight Injury
Saturday,18-30,Male,Employee,2-5yr,,Slight Injury
Saturday,31-50,Male,Employee,2-5yr,2-5yrs,Slight Injury
Thursday,18-30,Male,Employee,2-5yr,,Slight Injury
Thursday,31-50,Male,Employee,Above 10yr,,Slight Injury
Thursday,31-50,Male,Employee,2-5yr,Above 10yr,Slight Injury
Monday,18-30,Female,Employee,1-2yr,,Slight Injury
Monday,18-30,Male,Employee,2-5yr,,Slight Injury
Monday,18-30,Male,Employee,5-10yr,5-10yrs,Slight Injury
Monday,18-30,Male,Employee,1-2yr,1-2yr,Slight Injury
Tuesday,18-30,Male,Employee,1-2yr,,Slight Injury
Tuesday,Under 18,Male,Employee,2-5yr,,Slight Injury
Thursday,18-30,Male,Employee,Above 10yr,Below 1yr,Slight Injury
Thursday,18-30,Male,Employee,Below 1yr,,Serious Injury
Thursday,31-50,Male,Employee,Above 10yr,,Serious Injury
Wednesday,18-30,Male,Owner,5-10yr,Unknown,Slight Injury
Wednesday,18-30,Male,Employee,Above 10yr,Above 10yr,Slight Injury
Wednesday,18-30,Male,Employee,1-2yr,,Slight Injury
Friday,18-30,Male,,,2-5yrs,Slight Injury
Tuesday,Over 51,Male,Owner,5-10yr,,Slight Injury
Tuesday,18-30,Male,Employee,2-5yr,,Slight Injury
Monday,18-30,Male,,,Unknown,Slight Injury
Thursday,18-30,Male,,,1-2yr,Slight Injury
Thursday,18-30,Male,Owner,1-2yr,,Slight Injury
Thursday,31-50,Male,Employee,1-2yr,2-5yrs,Slight Injury
Saturday,Over 51,Male,Employee,1-2yr,,Slight Injury
Saturday,18-30,Male,Employee,Above 10yr,Unknown,Slight Injury
Friday,18-30,Male,Employee,1-2yr,Above 10yr,Slight Injury
Friday,Over 51,Male,Owner,Above 10yr,,Slight Injury
Friday,Over 51,Male,Employee,Above 10yr,Above 10yr,Slight Injury
Sunday,Over 51,Male,Employee,1-2yr,,Slight Injury
Sunday,31-50,Male,Employee,1-2yr,Above 10yr,Slight Injury
Sunday,31-50,Male,Employee,2-5yr,,Slight Injury
Sunday,18-30,Male,Employee,2-5yr,2-5yrs,Slight Injury
Wednesday,18-30,Male,Employee,1-2yr,5-10yrs,Slight Injury
Wednesday,18-30,Male,Employee,5-10yr,1-2yr,Slight Injury
Friday,31-50,Male,Employee,5-10yr,Unknown,Serious Injury
Friday,31-50,Male,Employee,1-2yr,Unknown,Slight Injury
Friday,31-50,Male,Other,5-10yr,Unknown,Slight Injury
Monday,18-30,Male,Employee,2-5yr,5-10yrs,Slight Injury
Monday,18-30,Male,Employee,5-10yr,,Slight Injury
Tuesday,18-30,Male,Employee,Above 10yr,5-10yrs,Slight Injury
Tuesday,31-50,Male,Employee,Above 10yr,2-5yrs,Slight Injury
Saturday,Over 51,Male,Owner,2-5yr,2-5yrs,Slight Injury
Saturday,31-50,Male,Employee,5-10yr,,Slight Injury
Saturday,31-50,Male,Owner,1-2yr,,Slight Injury
Saturday,18-30,Male,Employee,Above 10yr,,Slight Injury
Thursday,18-30,Male,Employee,5-10yr,,Slight Injury
Thursday,31-50,Male,Employee,2-5yr,,Slight Injury
Tuesday,18-30,Male,Employee,Above 10yr,,Slight Injury
Tuesday,Over 51,Male,Employee,2-5yr,,Slight Injury
Friday,18-30,Male,Employee,Above 10yr,Unknown,Slight Injury
Friday,31-50,Male,Employee,Above 10yr,,Slight Injury
Sunday,31-50,Male,Employee,2-5yr,Above 10yr,Slight Injury
Sunday,31-50,Male,Employee,Above 10yr,Above 10yr,Slight Injury
Monday,Unknown,Female,Employee,Above 10yr,Above 10yr,Slight Injury
Monday,31-50,Male,Employee,Below 1yr,Below 1yr,Slight Injury
Thursday,31-50,Male,Owner,Above 10yr,2-5yrs,Slight Injury
Thursday,18-30,Male,Other,Above 10yr,2-5yrs,Slight Injury
Wednesday,18-30,Male,Employee,5-10yr,2-5yrs,Slight Injury
Wednesday,31-50,Male,,,Below 1yr,Slight Injury
Monday,18-30,Male,Employee,5-10yr,2-5yrs,Slight Injury
Monday,31-50,Male,Employee,5-10yr,,Slight Injury
Thursday,31-50,Male,Owner,Below 1yr,,Slight Injury
Thursday,31-50,Male,Employee,5-10yr,,Slight Injury
Thursday,31-50,Male,Employee,2-5yr,,Slight Injury
Thursday,31-50,Male,Owner,2-5yr,Above 10yr,Slight Injury
Tuesday,Over 51,Male,Employee,2-5yr,Above 10yr,Serious Injury
Wednesday,Over 51,Male,Owner,2-5yr,,Slight Injury
Sunday,31-50,Male,Employee,Above 10yr,2-5yrs,Slight Injury
Sunday,Under 18,Male,Employee,2-5yr,,Slight Injury
Wednesday,31-50,Male,Employee,1-2yr,Unknown,Serious Injury
Wednesday,31-50,Male,Employee,2-5yr,2-5yrs,Serious Injury
Sunday,Over 51,Male,Employee,1-2yr,Unknown,Slight Injury
Sunday,Over 51,Male,Employee,5-10yr,Unknown,Slight Injury
Wednesday,Over 51,Male,Employee,5-10yr,2-5yrs,Slight Injury
Wednesday,Over 51,Male,Owner,2-5yr,,Slight Injury
Wednesday,31-50,Male,Employee,Below 1yr,5-10yrs,Slight Injury
Monday,18-30,Male,,,Unknown,Serious Injury
Monday,18-30,Male,Employee,Above 10yr,,Serious Injury
Sunday,31-50,Male,Employee,1-2yr,,Fatal injury
Sunday,31-50,Male,Owner,5-10yr,,Fatal injury
Monday,18-30,Male,Employee,1-2yr,5-10yrs,Slight Injury
Monday,18-30,Male,Employee,Above 10yr,,Slight Injury
Sunday,Over 51,Male,Employee,Below 1yr,2-5yrs,Slight Injury
Sunday,Over 51,Male,Employee,2-5yr,2-5yrs,Slight Injury
Thursday,18-30,Male,Employee,5-10yr,Above 10yr,Slight Injury
Thursday,18-30,Male,Employee,5-10yr,Unknown,Slight Injury
Thursday,31-50,Male,Owner,1-2yr,Above 10yr,Slight Injury
Sunday,18-30,Male,Employee,5-10yr,Below 1yr,Slight Injury
Sunday,Over 51,Male,Other,,Unknown,Slight Injury
Thursday,18-30,Male,Employee,2-5yr,Unknown,Slight Injury
Thursday,31-50,Male,Employee,1-2yr,Unknown,Slight Injury
Monday,18-30,Male,Employee,5-10yr,,Slight Injury
Monday,18-30,Male,Employee,2-5yr,,Slight Injury
Monday,18-30,Male,Employee,No Licence,1-2yr,Slight Injury
Monday,Over 51,Male,Employee,Above 10yr,Above 10yr,Slight Injury
Monday,31-50,Male,Employee,Above 10yr,Unknown,Slight Injury
Thursday,Under 18,Male,Employee,5-10yr,2-5yrs,Serious Injury
Thursday,Under 18,Male,Employee,2-5yr,,Serious Injury
Thursday,Under 18,Male,Owner,2-5yr,5-10yrs,Serious Injury
Thursday,Under 18,Male,Employee,Below 1yr,5-10yrs,Serious Injury
Monday,Over 51,Male,Owner,Above 10yr,2-5yrs,Slight Injury
Monday,31-50,Male,Employee,Above 10yr,Unknown,Slight Injury
Monday,31-50,Male,Employee,2-5yr,,Slight Injury
Friday,18-30,Male,Employee,2-5yr,Above 10yr,Slight Injury
Friday,31-50,Male,Employee,Above 10yr,Unknown,Slight Injury
Monday,31-50,Male,Employee,5-10yr,,Slight Injury
Friday,18-30,Male,Employee,Below 1yr,,Slight Injury
Saturday,Unknown,Female,Employee,Below 1yr,,Slight Injury
Saturday,18-30,Male,Employee,Below 1yr,Unknown,Slight Injury
Saturday,18-30,Male,Employee,5-10yr,5-10yrs,Slight Injury
Saturday,18-30,Male,Owner,5-10yr,Unknown,Slight Injury
Wednesday,31-50,Male,Owner,5-10yr,Unknown,Slight Injury
Wednesday,18-30,Male,Employee,5-10yr,Above 10yr,Slight Injury
Friday,18-30,Male,Employee,2-5yr,5-10yrs,Slight Injury
Friday,31-50,Male,Employee,5-10yr,Unknown,Slight Injury
Friday,18-30,Male,Employee,2-5yr,Unknown,Slight Injury
Tuesday,18-30,Male,Employee,Below 1yr,5-10yrs,Serious Injury
Monday,Under 18,Male,Employee,2-5yr,2-5yrs,Slight Injury
Monday,Over 51,Male,Employee,2-5yr,Unknown,Slight Injury
Saturday,31-50,Male,Employee,2-5yr,Unknown,Slight Injury
Sunday,18-30,Male,Employee,5-10yr,5-10yrs,Slight Injury
Sunday,18-30,Male,Employee,5-10yr,Unknown,Slight Injury
Sunday,18-30,Male,Employee,,Unknown,Slight Injury
Wednesday,31-50,Male,Owner,5-10yr,Unknown,Slight Injury
Saturday,Under 18,Male,Employee,2-5yr,Unknown,Slight Injury
Saturday,18-30,Male,Employee,Below 1yr,Unknown,Slight Injury
Friday,31-50,Male,Employee,1-2yr,Unknown,Serious Injury
Saturday,18-30,Male,Employee,Below 1yr,2-5yrs,Slight Injury
Friday,31-50,Male,Employee,Above 10yr,Unknown,Slight Injury
Friday,31-50,Male,Employee,Below 1yr,2-5yrs,Serious Injury
Friday,31-50,Male,Employee,2-5yr,Above 10yr,Serious Injury
Thursday,Under 18,Male,Employee,1-2yr,2-5yrs,Serious Injury
Thursday,Under 18,Male,Employee,5-10yr,2-5yrs,Serious Injury
Friday,18-30,Male,Owner,Below 1yr,2-5yrs,Slight Injury
Friday,18-30,Male,Employee,Below 1yr,2-5yrs,Slight Injury
Friday,18-30,Male,Employee,Below 1yr,2-5yrs,Slight Injury
Friday,18-30,Male,Employee,1-2yr,1-2yr,Slight Injury
Saturday,18-30,Male,Owner,5-10yr,Unknown,Slight Injury
Friday,Under 18,Male,Employee,2-5yr,Unknown,Slight Injury
Sunday,18-30,Male,Owner,Below 1yr,Unknown,Slight Injury
Sunday,31-50,Male,Employee,5-10yr,Above 10yr,Slight Injury
Sunday,31-50,Male,Employee,5-10yr,Unknown,Slight Injury
Sunday,18-30,Male,Employee,5-10yr,Unknown,Slight Injury
Sunday,18-30,Male,Employee,2-5yr,2-5yrs,Slight Injury
Saturday,Unknown,Female,Employee,Above 10yr,,Slight Injury
Saturday,31-50,Male,Employee,5-10yr,Unknown,Slight Injury
Saturday,31-50,Male,Employee,Above 10yr,5-10yrs,Slight Injury
Saturday,Under 18,Male,Employee,2-5yr,2-5yrs,Slight Injury
Saturday,Under 18,Male,Employee,Below 1yr,Unknown,Slight Injury
Friday,Under 18,Male,Employee,Below 1yr,2-5yrs,Slight Injury
Friday,31-50,Male,Owner,5-10yr,2-5yrs,Slight Injury
Monday,Over 51,Male,Employee,2-5yr,2-5yrs,Slight Injury
Monday,31-50,Male,Employee,Below 1yr,Unknown,Slight Injury
Monday,31-50,Male,Employee,2-5yr,5-10yrs,Slight Injury
Tuesday,18-30,Male,Employee,5-10yr,2-5yrs,Slight Injury
Tuesday,18-30,Male,Employee,Above 10yr,1-2yr,Slight Injury
Saturday,Over 51,Male,Employee,Above 10yr,2-5yrs,Slight Injury
Saturday,18-30,Male,Employee,5-10yr,1-2yr,Slight Injury
Sunday,31-50,Male,Employee,1-2yr,Unknown,Slight Injury
Sunday,31-50,Male,Employee,5-10yr,2-5yrs,Slight Injury
Monday,Over 51,Male,Employee,5-10yr,Unknown,Slight Injury
Monday,Over 51,Male,Employee,1-2yr,1-2yr,Slight Injury
Monday,18-30,Male,Owner,5-10yr,,Slight Injury
Sunday,31-50,Male,Owner,Above 10yr,Unknown,Slight Injury
Sunday,Over 51,Male,Owner,Below 1yr,Above 10yr,Slight Injury
Saturday,18-30,Male,Owner,5-10yr,Unknown,Slight Injury
Saturday,18-30,Male,Employee,Above 10yr,Unknown,Slight Injury
Tuesday,18-30,Male,Employee,Below 1yr,Above 10yr,Slight Injury
Tuesday,31-50,Male,Employee,1-2yr,,Slight Injury
Wednesday,31-50,Male,Employee,Above 10yr,Above 10yr,Slight Injury
Wednesday,31-50,Male,Owner,Above 10yr,Unknown,Slight Injury
Wednesday,31-50,Male,Employee,Above 10yr,Unknown,Slight Injury
Wednesday,31-50,Male,Employee,No Licence,2-5yrs,Slight Injury
Thursday,18-30,Male,Employee,1-2yr,Above 10yr,Slight Injury
Thursday,18-30,Male,Owner,1-2yr,5-10yrs,Slight Injury
Wednesday,18-30,Male,Owner,Below 1yr,5-10yrs,Slight Injury
Wednesday,18-30,Male,Owner,1-2yr,Unknown,Slight Injury
Friday,31-50,Male,Owner,2-5yr,Unknown,Serious Injury
Friday,18-30,Male,Owner,5-10yr,Below 1yr,Serious Injury
Wednesday,18-30,Male,Owner,Above 10yr,,Slight Injury
Wednesday,Over 51,Male,Owner,2-5yr,Unknown,Slight Injury
Friday,31-50,Male,Owner,Above 10yr,Unknown,Slight Injury
Friday,31-50,Male,Owner,5-10yr,2-5yrs,Slight Injury
Tuesday,Unknown,Female,Owner,,Unknown,Slight Injury
Tuesday,Over 51,Male,Owner,5-10yr,Unknown,Slight Injury
Thursday,18-30,Male,Owner,Below 1yr,Unknown,Slight Injury
Thursday,31-50,Male,Owner,2-5yr,5-10yrs,Slight Injury
Thursday,18-30,Male,Employee,2-5yr,Above 10yr,Slight Injury
Thursday,31-50,Male,Employee,2-5yr,5-10yrs,Slight Injury
Wednesday,31-50,Male,Employee,2-5yr,2-5yrs,Slight Injury
Wednesday,31-50,Male,Employee,5-10yr,2-5yrs,Slight Injury
Tuesday,Over 51,Male,Employee,5-10yr,Unknown,Serious Injury
Friday,18-30,Male,Employee,Above 10yr,Unknown,Serious Injury
Friday,18-30,Male,Employee,5-10yr,Unknown,Serious Injury
Friday,18-30,Male,Employee,5-10yr,Above 10yr,Serious Injury
Friday,18-30,Male,Employee,Above 10yr,Unknown,Serious Injury
Saturday,18-30,Male,Owner,,Above 10yr,Slight Injury
Tuesday,Over 51,Male,Owner,5-10yr,Above 10yr,Slight Injury
Tuesday,Unknown,Female,Employee,5-10yr,Unknown,Slight Injury
Tuesday,Unknown,Female,Employee,Below 1yr,2-5yrs,Slight Injury
Tuesday,Unknown,Female,,,Unknown,Slight Injury
Tuesday,Unknown,Female,Employee,5-10yr,2-5yrs,Slight Injury
Tuesday,Unknown,Female,Employee,5-10yr,,Slight Injury
Thursday,Under 18,Male,Employee,Above 10yr,Unknown,Slight Injury
Thursday,18-30,Male,Employee,Above 10yr,Unknown,Slight Injury
Tuesday,18-30,Male,Employee,Above 10yr,Unknown,Slight Injury
Tuesday,18-30,Male,Employee,Above 10yr,Unknown,Slight Injury
Tuesday,18-30,Male,Employee,Above 10yr,Unknown,Slight Injury
Tuesday,31-50,Male,Employee,Above 10yr,Unknown,Slight Injury
Tuesday,31-50,Male,Employee,5-10yr,Unknown,Slight Injury
Saturday,Unknown,Female,Employee,2-5yr,Unknown,Slight Injury
Saturday,18-30,Male,Employee,Below 1yr,Unknown,Slight Injury
Saturday,18-30,Male,Employee,Below 1yr,Unknown,Slight Injury
Saturday,Over 51,Male,Employee,2-5yr,Above 10yr,Slight Injury
Saturday,31-50,Male,Employee,Below 1yr,Unknown,Slight Injury
Monday,18-30,Female,Employee,Below 1yr,Above 10yr,Serious Injury
Monday,Over 51,Female,Employee,,1-2yr,Serious Injury
Friday,Unknown,Female,Employee,5-10yr,Unknown,Slight Injury
Friday,18-30,Male,Employee,Below 1yr,2-5yrs,Slight Injury
Thursday,18-30,Male,Employee,Below 1yr,Unknown,Slight Injury
Thursday,18-30,Male,Employee,1-2yr,Unknown,Slight Injury
Thursday,31-50,Male,Employee,Above 10yr,Unknown,Slight Injury
Thursday,31-50,Male,Employee,Above 10yr,Unknown,Slight Injury
Thursday,31-50,Male,Employee,Below 1yr,2-5yrs,Slight Injury
Thursday,18-30,Male,Employee,2-5yr,,Slight Injury
Thursday,18-30,Male,Employee,2-5yr,Unknown,Slight Injury
